serial number,Group_no
1,2
2,3
3,2
4,2
5,3
6,2
7,3
8,3
9,3
10,1
11,2
12,2
13,1
14,2
15,3
16,3
17,3
18,1
19,3
20,2
21,3
22,3
23,2
24,3
25,2
26,3
27,3
28,3
29,1
30,2
31,3
32,3
33,1
34,2
35,1
36,1
37,2
38,2
39,3
40,2
41,2
42,1
43,3
44,3
45,3
46,3
47,1
48,2
49,3
50,3
51,1
52,2
53,3
54,1
55,2
56,1
57,3
58,3
59,1
60,1
61,2
62,1
63,1
64,2
65,3
66,1
67,3
68,1
69,2
70,2
71,3
72,1
73,1
74,2
75,3
76,1
77,1
78,1
79,3
80,2
81,1
82,1
83,3
84,2
85,1
86,1
87,1
88,2
89,2
90,1
91,3
92,2
93,2
94,2
95,2
96,2
97,3
98,2
99,3
100,3
101,3
102,1
103,2
104,2
105,2
106,2
107,2
108,2
109,1
110,1
111,1
112,3
113,3
114,3
115,3
116,3
117,1
118,2
119,2
120,1
121,1
122,3
123,3
124,2
125,3
126,2
127,2
128,1
129,3
130,1
131,3
132,3
133,3
134,3
135,3
136,1
137,3
138,2
139,1
140,3
141,3
142,3
143,3
144,3
145,2
146,2
147,2
148,1
149,1
150,2
151,1
152,3
153,1
154,2
155,1
156,2
157,3
158,2
159,3
160,3
161,3
162,2
163,2
164,1
165,1
166,1
167,3
168,3
169,1
170,2
171,3
172,2
173,1
174,3
175,1
176,1
177,3
178,3
179,1
180,2
181,1
182,3
183,2
184,2
185,3
186,3
187,3
188,3
189,1
190,2
191,1
192,1
193,1
194,2
195,2
196,3
197,2
198,2
199,1
200,2
