,S.No,treatment
0,1,Yes
1,2,Yes
2,3,Yes
3,4,Yes
4,5,No
5,6,No
6,7,Yes
7,8,No
8,9,No
9,10,Yes
10,11,No
11,12,No
12,13,No
13,14,No
14,15,No
15,16,Yes
16,17,Yes
17,18,No
18,19,No
19,20,No
20,21,No
21,22,No
22,23,No
23,24,Yes
24,25,No
25,26,No
26,27,Yes
27,28,Yes
28,29,Yes
29,30,Yes
30,31,No
31,32,Yes
32,33,Yes
33,34,Yes
34,35,Yes
35,36,Yes
36,37,No
37,38,No
38,39,No
39,40,No
40,41,Yes
41,42,No
42,43,No
43,44,Yes
44,45,No
45,46,No
46,47,Yes
47,48,Yes
48,49,Yes
49,50,No
50,51,No
51,52,No
52,53,Yes
53,54,Yes
54,55,Yes
55,56,No
56,57,No
57,58,No
58,59,Yes
59,60,No
60,61,No
61,62,Yes
62,63,No
63,64,No
64,65,Yes
65,66,No
66,67,Yes
67,68,No
68,69,Yes
69,70,Yes
70,71,No
71,72,Yes
72,73,No
73,74,No
74,75,No
75,76,No
76,77,Yes
77,78,No
78,79,Yes
79,80,Yes
80,81,No
81,82,Yes
82,83,Yes
83,84,Yes
84,85,Yes
85,86,Yes
86,87,No
87,88,Yes
88,89,Yes
89,90,Yes
90,91,No
91,92,No
92,93,Yes
93,94,Yes
94,95,Yes
95,96,No
96,97,Yes
97,98,Yes
98,99,Yes
99,100,Yes
100,101,No
101,102,Yes
102,103,No
103,104,Yes
104,105,Yes
105,106,Yes
106,107,No
107,108,No
108,109,No
109,110,Yes
110,111,No
111,112,No
112,113,No
113,114,No
114,115,Yes
115,116,No
116,117,Yes
117,118,Yes
118,119,No
119,120,No
120,121,No
121,122,No
122,123,No
123,124,Yes
124,125,Yes
125,126,No
126,127,Yes
127,128,Yes
128,129,No
129,130,No
130,131,No
131,132,No
132,133,Yes
133,134,Yes
134,135,Yes
135,136,No
136,137,No
137,138,No
138,139,Yes
139,140,No
140,141,Yes
141,142,Yes
142,143,Yes
143,144,No
144,145,No
145,146,No
146,147,No
147,148,No
148,149,No
149,150,No
150,151,No
151,152,No
152,153,Yes
153,154,No
154,155,No
155,156,No
156,157,No
157,158,Yes
158,159,No
159,160,Yes
160,161,Yes
161,162,Yes
162,163,No
163,164,Yes
164,165,Yes
165,166,No
166,167,No
167,168,No
168,169,No
169,170,No
170,171,No
171,172,Yes
172,173,Yes
173,174,No
174,175,No
175,176,Yes
176,177,No
177,178,No
178,179,No
179,180,Yes
180,181,No
181,182,Yes
182,183,Yes
183,184,Yes
184,185,No
185,186,No
186,187,No
187,188,No
188,189,Yes
189,190,Yes
190,191,No
191,192,Yes
192,193,No
193,194,No
194,195,Yes
195,196,No
196,197,Yes
197,198,No
198,199,Yes
199,200,Yes
200,201,Yes
201,202,Yes
202,203,Yes
203,204,Yes
204,205,Yes
205,206,No
206,207,Yes
207,208,Yes
208,209,No
209,210,Yes
